experiment_id,dataset,number_of_data,model,prompt_type,number_of_shots,temperature,max_tokens,stop,batch_size,pad_token,pad_token_id,eos_token_id,seed,device,note,accuracy,sensitivity_general,sensitivity_correct,sensitivity_incorrect,model_size,,
20230913_145542,cola,527,google/flan-t5-xxl,zero_a,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.9392789374,0.04867172676,0.0304040404,0.33125,T5-11B-T,,
20230913_145653,cola,527,google/flan-t5-xxl,zero_a,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.9392789374,0.04867172676,0.0304040404,0.33125,T5-11B-T,,
20230913_145804,cola,527,google/flan-t5-xxl,zero_b,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.9886148008,0.01252371917,0.008445297505,0.3666666667,T5-11B-T,,
20230913_145932,cola,527,google/flan-t5-xxl,zero_b,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.9886148008,0.01252371917,0.008445297505,0.3666666667,T5-11B-T,,
20230913_150100,cola,527,google/flan-t5-xxl,zero_b,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.9886148008,0.01252371917,0.008445297505,0.3666666667,T5-11B-T,,
20230913_150228,cola,527,google/flan-t5-xxl,base_a,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.2941176471,0.05746363061,0.05741935484,0.05748207885,T5-11B-T,,
20230913_150331,cola,527,google/flan-t5-xxl,base_a,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.2941176471,0.05746363061,0.05741935484,0.05748207885,T5-11B-T,,
20230913_150434,cola,527,google/flan-t5-xxl,base_a,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.2941176471,0.05746363061,0.05741935484,0.05748207885,T5-11B-T,,
20230913_150537,cola,527,google/flan-t5-xxl,base_b,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.8159392789,0.1782732448,0.1672093023,0.2273195876,T5-11B-T,,
20230913_150724,cola,527,google/flan-t5-xxl,base_b,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.8159392789,0.1782732448,0.1672093023,0.2273195876,T5-11B-T,,
20230913_150917,cola,527,google/flan-t5-xxl,base_b,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.8159392789,0.1782732448,0.1672093023,0.2273195876,T5-11B-T,,
20230913_151104,cola,527,google/flan-t5-xxl,context faithful prompting,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.8064516129,0.1881404175,0.1752941176,0.2416666667,T5-11B-T,,
20230913_151306,cola,527,google/flan-t5-xxl,context faithful prompting,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.8064516129,0.1881404175,0.1752941176,0.2416666667,T5-11B-T,,
20230913_151508,cola,527,google/flan-t5-xxl,context faithful prompting,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.8064516129,0.1881404175,0.1752941176,0.2416666667,T5-11B-T,,
20230913_151711,mnli,1000,google/flan-t5-xxl,zero_a,3,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.528,0.2218,0.1166666667,0.3394067797,T5-11B-T,,
20230913_152123,mnli,1000,google/flan-t5-xxl,zero_a,3,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.528,0.2218,0.1166666667,0.3394067797,T5-11B-T,,
20230913_152536,mnli,1000,google/flan-t5-xxl,zero_a,3,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.528,0.2218,0.1166666667,0.3394067797,T5-11B-T,,
20230913_152948,mnli,1000,google/flan-t5-xxl,zero_b,3,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.832,0.093,0.05552884615,0.2785714286,T5-11B-T,,
20230913_153442,mnli,1000,google/flan-t5-xxl,zero_b,3,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.832,0.093,0.05552884615,0.2785714286,T5-11B-T,,
20230913_153936,mnli,1000,google/flan-t5-xxl,zero_b,3,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.832,0.093,0.05552884615,0.2785714286,T5-11B-T,,
20230913_154430,mnli,1000,google/flan-t5-xxl,base_a,3,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.258,0.4168,0.3984496124,0.423180593,T5-11B-T,,
20230913_154830,mnli,1000,google/flan-t5-xxl,base_a,3,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.258,0.4168,0.3984496124,0.423180593,T5-11B-T,,
20230913_155230,mnli,1000,google/flan-t5-xxl,base_a,3,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.258,0.4168,0.3984496124,0.423180593,T5-11B-T,,
20230913_155629,mnli,1000,google/flan-t5-xxl,base_b,3,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.823,0.182,0.1851761847,0.1672316384,T5-11B-T,,
20230913_160130,mnli,1000,google/flan-t5-xxl,base_b,3,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.823,0.182,0.1851761847,0.1672316384,T5-11B-T,,
20230913_160630,mnli,1000,google/flan-t5-xxl,base_b,3,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.823,0.182,0.1851761847,0.1672316384,T5-11B-T,,
20230913_161130,mnli,1000,google/flan-t5-xxl,context faithful prompting,3,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.829,0.1852,0.1667068758,0.2748538012,T5-11B-T,,
20230913_161826,mnli,1000,google/flan-t5-xxl,context faithful prompting,3,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.829,0.1852,0.1667068758,0.2748538012,T5-11B-T,,
20230913_162522,mnli,1000,google/flan-t5-xxl,context faithful prompting,3,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.829,0.1852,0.1667068758,0.2748538012,T5-11B-T,,
20230913_163218,rte,277,google/flan-t5-xxl,zero_a,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.4332129964,0.2339350181,0.1916666667,0.2662420382,T5-11B-T,,
20230913_163323,rte,277,google/flan-t5-xxl,zero_a,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.4332129964,0.2339350181,0.1916666667,0.2662420382,T5-11B-T,,
20230913_163428,rte,277,google/flan-t5-xxl,zero_a,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.4332129964,0.2339350181,0.1916666667,0.2662420382,T5-11B-T,,
20230913_163534,rte,277,google/flan-t5-xxl,zero_b,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.8050541516,0.09530685921,0.05381165919,0.2666666667,T5-11B-T,,
20230913_163649,rte,277,google/flan-t5-xxl,zero_b,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.8050541516,0.09530685921,0.05381165919,0.2666666667,T5-11B-T,,
